temperature,humidity
20.31,63.34
24.36,55.52
22.59,79.94
22.38,57.96
22.71,77.98
18.14,99.96
18.4,99.96
25.72,56.99
26.18,61.87
18.94,54.06
25.68,77.98
18.05,85.31
18.15,60.41
20.36,64.31
26.62,79.94
38.92,47.22
30.56,65.78
39.33,44.29
30.81,66.27
33.2,48.69
34.12,59.43
35.46,47.71
39.93,41.85
28.4,66.75
40.85,44.78
16.92,54.06
31.14,49.18
20.57,62.85
39.74,35.02
34.79,43.32
32.44,47.71
40.93,32.09
32.37,47.22
40.24,31.6
32.79,63.34
34.56,55.04
28.57,67.73
24.55,69.2
32.67,63.82
34.21,82.87
24.82,75.54
24.71,68.71
29.35,89.7
26.83,76.52
25.17,74.08
27.38,68.22
24.62,68.71
24.79,72.13
26,93.12
24.27,73.59
26.07,66.75
20.55,60.41
22.93,74.08
22.12,75.05
16.87,56.99
23.99,71.15
24.43,69.2
20.6,59.92
22.27,74.08
23.19,71.15
24.71,71.64
23.43,70.17
20.82,99.47
18.57,84.82
17.96,86.77
18.69,84.33
17.8,83.36
17.63,85.8
18.29,84.82
18.82,79.45
18.36,85.8
18.06,83.84
20.53,63.34
17.09,86.29
24.52,71.64
16.94,86.77
17.67,89.7
15.53,90.19
17.21,82.87
17.33,86.77
17.98,83.84
17.19,81.89
18.4,98.98
17.65,87.26
14.88,99.96
17.19,78.96
16.18,80.43
17.85,76.52
15.91,89.21
20.61,58.45
15.29,84.82
17,78.47
15.96,77.01
15.33,84.33
11.98,99.96
15.49,77.01
15.59,78.47
15,84.33
16.03,79.45
15.27,78.47
11.76,91.17
16.55,99.96
11.97,90.68
17.03,97.52
20.63,59.43
22.07,65.29
25.15,50.64
19.85,73.1
18.68,81.89
18.49,69.2
16.82,76.52
16.96,82.38
17.42,78.47
12.75,71.64
15.21,85.8
17.3,78.96
15.4,81.4
17.8,84.33
16.74,81.4
14.79,83.84
16.15,84.82
14.45,86.77
11.56,83.84
15.66,87.26
15.7,87.26
16.63,81.4
13.96,90.68
16.7,90.19
15.36,88.24
13.48,92.63
15.62,89.21
15.26,87.26
12.23,96.54
16.5,84.33
12.37,97.03
12.31,97.52
19.71,62.36
13.69,88.24
16.82,89.7
13.21,90.19
13.34,91.66
16.09,87.26
16.9,85.8
19.75,62.36
20.54,85.8
16.86,92.14
19.27,84.82
26.95,63.82
18.62,80.43
19.88,62.36
18.51,85.31
16.06,89.7
20.8,80.43
26.21,67.73
19.95,62.36
17.97,81.89
26.28,65.78
25.47,60.89
18.87,79.45
20.21,75.54
20,62.36
20.02,62.36
28.18,57.96
31.44,51.13
26.3,59.43
28.56,62.36
29.4,53.57
28.9,63.82
31.49,58.45
27.04,62.85
13.77,64.31
30.69,56.99
31.59,57.48
26.51,57.48
19.99,65.78
29.51,52.11
26.91,66.27
31.96,63.34
35.89,40.88
35.26,53.08
32.14,55.04
20.26,66.75
35.93,41.36
36.86,42.83
38.8,71.64
36.18,61.87
38.11,70.66
11.08,85.8
29.75,60.89
25.62,71.64
12.16,77.98
26.25,74.08
27.95,90.19
25.91,73.59
24.14,78.47
24.99,72.61
24.86,78.47
26.12,70.66
20.46,60.89
25.02,76.03
24.41,77.01
23.95,78.47
24.74,62.36
23.17,84.82
23.33,84.82
22.83,89.21
24.21,74.08
23.37,78.96
23.8,99.96
23.02,92.14
26.27,54.06
23.28,84.33
20.43,62.85
23.27,85.31
25.77,54.06
23.81,99.96
22.99,86.77
20.4,61.38
24.86,70.66
22.32,87.75
22.77,90.19
22.89,99.96
23.87,74.08
22.98,98
26.65,50.64
23.09,99.96
20.47,62.36
20.46,59.92
24.57,80.91
27.69,49.18
33.73,85.31
20.47,60.41
36.78,73.59
23.42,69.68
17.92,54.55
40.68,65.29
37.24,57.48
41,65.29
13.91,78.96
