time,value
2025-02-11T20:26:30.604648187Z,-0.8131103515625
2025-02-11T20:26:31.730939893Z,-0.9329833984375
2025-02-11T20:26:32.755034349Z,-0.9718017578125
2025-02-11T20:26:33.778964895Z,-0.9739990234375
2025-02-11T20:26:34.807086569Z,-0.9786376953125
2025-02-11T20:26:35.826765548Z,-0.9686279296875
2025-02-11T20:26:36.850978377Z,-0.9722900390625
2025-02-11T20:26:37.87681822Z,-0.966796875
2025-02-11T20:26:39.001220102Z,-0.9681396484375
2025-02-11T20:26:40.02534488Z,-0.9677734375
2025-02-11T20:26:41.049439912Z,-0.9632568359375
2025-02-11T20:26:42.074200784Z,-0.962158203125
2025-02-11T20:26:43.097656212Z,-0.9622802734375
2025-02-11T20:26:44.122198599Z,-0.962890625
2025-02-11T20:26:45.145388249Z,-0.96337890625
2025-02-11T20:26:46.271721669Z,-0.96728515625
2025-02-11T20:26:47.295892241Z,-0.9638671875
2025-02-11T20:26:48.320125403Z,-0.9619140625
2025-02-11T20:26:49.448379442Z,-0.9462890625
2025-02-11T20:26:50.471686251Z,-0.9859619140625
2025-02-11T20:26:51.494101757Z,-0.976806640625
2025-02-11T20:26:52.518518718Z,-0.9759521484375
2025-02-11T20:26:53.54335083Z,-0.9775390625
2025-02-11T20:26:54.566076917Z,-0.97265625
2025-02-11T20:26:55.590120518Z,-0.972412109375
2025-02-11T20:26:56.717036498Z,-0.97314453125
2025-02-11T20:26:57.638463541Z,-0.9766845703125
2025-02-11T20:26:58.764907746Z,-0.9749755859375
2025-02-11T20:26:59.788500453Z,-0.974853515625
2025-02-11T20:27:00.813071429Z,-0.970703125
2025-02-11T20:27:01.83678782Z,-0.972900390625
2025-02-11T20:27:02.963204492Z,-0.97119140625
2025-02-11T20:27:03.98710226Z,-0.962158203125
2025-02-11T20:27:05.013664776Z,-0.9683837890625
2025-02-11T20:27:06.035087717Z,-0.9732666015625
2025-02-11T20:27:07.059551558Z,-0.9693603515625
2025-02-11T20:27:08.08322904Z,-0.9744873046875
2025-02-11T20:27:09.107024042Z,-0.97265625
2025-02-11T20:27:10.233850848Z,-0.972412109375
2025-02-11T20:27:11.25747933Z,-0.97021484375
2025-02-11T20:27:12.284034227Z,-0.970458984375
2025-02-11T20:27:13.306445084Z,-0.9686279296875
2025-02-11T20:27:14.329689805Z,-0.97119140625
2025-02-11T20:27:15.354496817Z,-0.9698486328125
2025-02-11T20:27:16.483330008Z,-0.953369140625
2025-02-11T20:27:17.504025967Z,-0.9520263671875
2025-02-11T20:27:18.528947591Z,-0.9439697265625
2025-02-11T20:27:19.552288198Z,-0.9365234375
2025-02-11T20:27:20.576119776Z,-0.9364013671875
2025-02-11T20:27:21.599915214Z,-0.9229736328125
2025-02-11T20:27:22.624148745Z,-0.9263916015625
2025-02-11T20:27:23.753719928Z,-0.687255859375
2025-02-11T20:27:24.777068758Z,-0.1744384765625
2025-02-11T20:27:25.802745551Z,-0.044189453125
2025-02-11T20:27:26.822459673Z,-0.11328125
2025-02-11T20:27:27.846925013Z,-0.129150390625
2025-02-11T20:27:28.873981758Z,-0.1251220703125
2025-02-11T20:27:30.000612642Z,-0.1317138671875
2025-02-11T20:27:31.020857702Z,-0.13037109375
2025-02-11T20:27:32.045457819Z,-0.1322021484375
2025-02-11T20:27:33.069467792Z,-0.1380615234375
2025-02-11T20:27:34.094119331Z,-0.1400146484375
2025-02-11T20:27:35.118767473Z,-0.138916015625
2025-02-11T20:27:36.151040031Z,-0.136962890625
2025-02-11T20:27:37.267492834Z,-0.145751953125
2025-02-11T20:27:38.292607851Z,-0.1458740234375
2025-02-11T20:27:39.318750875Z,-0.1346435546875
2025-02-11T20:27:40.34074988Z,-0.169189453125
2025-02-11T20:27:41.363440062Z,-0.220947265625
2025-02-11T20:27:42.387423052Z,-0.1956787109375
2025-02-11T20:27:43.412333557Z,-0.1917724609375
2025-02-11T20:27:44.537497859Z,-0.1729736328125
2025-02-11T20:27:45.572070191Z,-0.1724853515625
2025-02-11T20:27:46.586066713Z,-0.157470703125
2025-02-11T20:27:47.609974849Z,-0.2327880859375
2025-02-11T20:27:48.63521925Z,-0.2371826171875
2025-02-11T20:27:49.657998537Z,-0.257568359375
2025-02-11T20:27:50.784538035Z,-0.767578125
2025-02-11T20:27:51.808371262Z,-0.8162841796875
2025-02-11T20:27:52.832399165Z,-0.8701171875
2025-02-11T20:27:53.8574469Z,-0.922119140625
2025-02-11T20:27:54.880456508Z,-0.937255859375
2025-02-11T20:27:55.904523341Z,-0.1943359375
2025-02-11T20:27:56.928351985Z,-0.1639404296875
2025-02-11T20:27:57.953874848Z,-0.161376953125
2025-02-11T20:27:59.079067333Z,-0.1610107421875
