Time,x,y,z
2025-03-03T11:34:46.679209,0.85,-0.18,0.55
2025-03-03T11:34:47.047977,0.31,-0.18,0.67
2025-03-03T11:34:47.427496,0.0,-0.12,0.55
2025-03-03T11:34:47.801842,-0.31,-0.12,0.55
2025-03-03T11:34:48.533712,0.31,-0.18,0.61
2025-03-03T11:34:48.909414,0.12,-0.12,0.55
2025-03-03T11:34:49.281042,2.44,-0.18,1.4
2025-03-03T11:34:49.653923,1.53,-0.12,0.98
2025-03-03T11:34:50.089757,-1.1,-0.12,0.85
2025-03-03T11:34:50.477187,0.85,-0.18,0.98
2025-03-03T11:34:50.854811,0.37,-0.79,2.26
2025-03-03T11:34:51.241122,19.78,6.29,13.43
2025-03-03T11:34:51.628853,-85.45,-13.12,21.85
2025-03-03T11:34:52.010012,-29.48,-17.27,15.81
2025-03-03T11:34:52.406715,10.07,-1.34,10.8
2025-03-03T11:34:52.785139,14.89,19.71,19.71
2025-03-03T11:34:53.162976,-5.98,-5.07,-2.14
2025-03-03T11:34:53.540323,-9.09,-0.37,-2.38
2025-03-03T11:34:53.928866,9.16,0.31,2.5
2025-03-03T11:34:54.329134,-7.69,-0.85,-0.98
2025-03-03T11:34:54.713895,-0.67,-0.31,0.49
2025-03-03T11:34:55.099135,1.34,-0.06,0.85
2025-03-03T11:34:55.468208,-3.54,-0.73,-0.06
2025-03-03T11:34:55.853568,0.79,-0.06,0.73
2025-03-03T11:34:56.217871,-0.49,-0.24,0.49
2025-03-03T11:34:56.602043,-0.43,-0.24,0.43
2025-03-03T11:34:56.996276,-2.01,-0.67,0.24
2025-03-03T11:34:57.386175,2.75,0.18,1.1
2025-03-03T11:34:57.764464,-2.69,-0.49,0.06
2025-03-03T11:34:58.164227,-9.4,-1.34,-1.1
2025-03-03T11:34:58.522459,5.68,-0.06,1.83
2025-03-03T11:34:58.916280,-7.39,-0.73,-0.92
2025-03-03T11:34:59.306643,1.71,0.0,0.92
2025-03-03T11:34:59.706883,1.4,-0.12,0.92
2025-03-03T11:35:00.108508,0.18,-0.18,0.61
2025-03-03T11:35:00.499321,-3.36,-0.43,-0.12
2025-03-03T11:35:00.903822,1.59,-0.06,0.92
2025-03-03T11:35:01.300429,-0.92,-0.43,0.37
2025-03-03T11:35:01.686810,0.0,-0.18,0.55
2025-03-03T11:35:02.085564,-1.28,-0.31,0.31
2025-03-03T11:35:02.500003,-0.06,-0.31,0.61
2025-03-03T11:35:02.881298,-0.55,-0.31,0.49
2025-03-03T11:35:03.245619,-1.1,-0.31,0.37
2025-03-03T11:35:03.639262,-0.24,-0.31,0.55
2025-03-03T11:35:04.016993,0.61,-0.18,0.67
2025-03-03T11:35:04.411080,-0.49,-0.18,0.49
2025-03-03T11:35:04.777441,-0.49,-0.24,0.49
2025-03-03T11:35:05.187324,-0.55,-0.24,0.49
2025-03-03T11:35:05.590167,-0.31,-0.18,0.55
2025-03-03T11:35:05.966595,-0.55,-0.24,0.43
2025-03-03T11:35:06.339369,-0.37,-0.24,0.49
2025-03-03T11:35:06.767069,0.06,-0.24,0.61
2025-03-03T11:35:07.148181,-0.85,-0.12,0.43
2025-03-03T11:35:07.523711,-2.2,-0.24,0.18
2025-03-03T11:35:07.913535,-2.56,-0.55,0.12
2025-03-03T11:35:08.283599,0.73,-0.18,0.73
2025-03-03T11:35:08.670360,-0.79,-0.24,0.43
2025-03-03T11:35:09.045182,-0.31,-0.24,0.49
